Populations,Group name,CD19,CD4,CD8,CD34,CD20,CD45,CD123,CD11c,CD7,CD16,CD38,CD3,HLA-DR,CD64
Basophils,Basophils,-1,NA,-1,-1,-1,NA,1,-1,-1,-1,NA,-1,-1,-1
CD4 T cells,CD4 T cells,-1,1,-1,-1,-1,NA,-1,-1,NA,-1,NA,1,-1,-1
CD8 T cells,CD8 T cells,-1,-1,1,-1,-1,NA,-1,-1,1,-1,NA,1,-1,-1
CD16- NK cells,NK cells,-1,NA,NA,-1,-1,NA,-1,-1,1,-1,NA,-1,-1,-1
CD16+ NK cells,NK cells,-1,NA,NA,-1,NA,NA,-1,-1,1,1,NA,-1,-1,-1
CD34+CD38+CD123- HSPCs,HSPCs,-1,NA,-1,1,-1,-1,-1,-1,-1,-1,1,-1,NA,-1
CD34+CD38+CD123+ HSPCs,HSPCs,-1,NA,-1,1,-1,-1,1,-1,-1,-1,1,-1,NA,-1
CD34+CD38lo HSCs,HSCs,-1,NA,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,NA,-1
Mature B cells,B cells,1,NA,-1,-1,NA,NA,-1,-1,-1,-1,-1,-1,NA,NA
Plasma B cells,B cells,1,NA,-1,-1,NA,NA,-1,-1,-1,-1,1,-1,-1,NA
Pre B cells,B cells,1,NA,-1,-1,NA,NA,-1,-1,-1,-1,1,-1,1,-1
Pro B cells,B cells,1,NA,-1,1,NA,-1,-1,-1,-1,-1,1,-1,NA,-1
Monocytes,Monocytes,-1,NA,-1,-1,-1,NA,-1,1,-1,NA,NA,-1,1,NA
pDCs,DCs,-1,NA,-1,-1,-1,NA,1,-1,-1,NA,NA,-1,1,-1